ID,Expression,HalideResult,HalideTime
57,( >= 0 ( - ( + 0 ( / ( + ( % ( + v0 v1 ) 8 ) 220 ) 32 ) ) 1 ) ),0,40
103,( >= ( max ( / ( + v0 5 ) 253 ) 0 ) ( - ( + ( max ( / ( + v0 5 ) 253 ) 0 ) ( max ( - ( / ( + v0 257 ) 253 ) ( max ( / ( + v0 5 ) 253 ) 0 ) ) 0 ) ) 1 ) ),0,683
106,( == 0 ( - ( + 0 ( / ( + ( % ( + v0 v1 ) 2 ) 251 ) 4 ) ) 1 ) ),0,61
194,( == 0 ( - ( + 0 ( / ( + ( % ( + v0 v1 ) 8 ) 156 ) 32 ) ) 1 ) ),0,1247
198,( <= ( + ( max ( - ( / ( + ( min ( * v0 32 ) 93 ) v1 ) 4 ) ( + ( / ( + v1 7 ) 4 ) ( * v0 8 ) ) ) 0 ) 12 ) 1024 ),0,861
260,( < ( + ( / ( + v0 v1 ) 65 ) 1 ) ( / ( + ( + v0 1 ) v1 ) 65 ) ),0,65
301,( >= ( / ( + v0 v1 ) 16 ) ( + ( + ( / ( + ( - v0 1 ) v1 ) 16 ) 1 ) 1 ) ),0,74
378,( == ( * ( / ( min ( - ( max ( min ( min ( + ( + ( + ( min ( * ( / ( + ( min ( + ( * v2 -501 ) ( - v3 ( / v1 2 ) ) ) 499 ) 7 ) 127 ) 127 ) 380 ) ( * v2 501 ) ) ( / v1 2 ) ) 119 ) v3 ) 999 ) 0 ) ( max ( min ( + ( * v2 501 ) ( + ( / v1 2 ) 119 ) ) ( min v3 1125 ) ) 126 ) ) -128 ) 8 ) 8 ) ( min ( - ( max ( min ( min ( + ( + ( + ( min ( * ( / ( + ( min ( + ( * v2 -501 ) ( - v3 ( / v1 2 ) ) ) 499 ) 7 ) 127 ) 127 ) 380 ) ( * v2 501 ) ) ( / v1 2 ) ) 119 ) v3 ) 999 ) 0 ) ( max ( min ( + ( * v2 501 ) ( + ( / v1 2 ) 119 ) ) ( min v3 1125 ) ) 126 ) ) -128 ) ),0,5367
437,( >= ( - ( max ( * ( % v0 8 ) 32 ) 220 ) 253 ) ( - ( + ( - ( max ( * ( % v0 8 ) 32 ) 220 ) 253 ) ( - 258 ( max ( * ( % v0 8 ) 32 ) 220 ) ) ) 1 ) ),0,101
440,( <= ( + ( / ( + v0 v1 ) 65 ) 1 ) ( - ( / ( + ( - v0 1 ) v1 ) 65 ) 1 ) ),0,67
